order_id,order_date,region,channel,revenue
ORD-0,2024-01-14,East,Web,401
ORD-1,2024-01-17,East,Partner,277
ORD-2,2024-01-10,North,Web,349
ORD-3,2024-01-08,South,Partner,454
ORD-4,2024-01-16,West,Web,509
ORD-5,2024-01-01,East,Partner,560
ORD-6,2024-01-11,North,Web,677
ORD-7,2024-01-06,South,Retail,377
ORD-8,2024-01-03,East,Retail,545
ORD-9,2024-01-22,West,Retail,436
ORD-10,2024-01-19,West,Web,475
ORD-11,2024-01-27,East,Partner,543
ORD-12,2024-01-05,North,Web,399
ORD-13,2024-01-27,East,Web,514
ORD-14,2024-01-20,West,Retail,419
ORD-15,2024-01-17,East,Web,456
ORD-16,2024-01-26,West,Web,604
ORD-17,2024-01-02,North,Partner,378
ORD-18,2024-01-19,East,Retail,528
ORD-19,2024-01-22,West,Partner,709
ORD-20,2024-01-06,North,Retail,473
ORD-21,2024-01-21,North,Retail,519
ORD-22,2024-01-20,North,Web,494
ORD-23,2024-01-08,North,Web,494
ORD-24,2024-01-01,West,Web,484
ORD-25,2024-01-07,East,Partner,364
ORD-26,2024-01-16,West,Web,533
ORD-27,2024-01-12,East,Partner,520
ORD-28,2024-01-10,East,Retail,666
ORD-29,2024-01-19,West,Retail,416
ORD-30,2024-01-05,East,Partner,586
ORD-31,2024-01-19,East,Partner,472
ORD-32,2024-01-06,East,Retail,464
ORD-33,2024-01-18,South,Retail,524
ORD-34,2024-01-01,East,Retail,513
ORD-35,2024-01-19,South,Web,553
ORD-36,2024-01-26,West,Retail,520
ORD-37,2024-01-18,South,Retail,639
ORD-38,2024-01-23,North,Retail,448
ORD-39,2024-01-21,South,Retail,528
ORD-40,2024-01-27,North,Web,531
ORD-41,2024-01-05,East,Partner,381
ORD-42,2024-01-14,North,Retail,540
ORD-43,2024-01-13,North,Retail,561
ORD-44,2024-01-21,North,Partner,467
ORD-45,2024-01-21,East,Web,480
ORD-46,2024-01-04,North,Web,578
ORD-47,2024-01-02,West,Partner,546
ORD-48,2024-01-19,South,Retail,537
ORD-49,2024-01-20,North,Partner,632
ORD-50,2024-01-22,West,Web,405
ORD-51,2024-01-15,East,Partner,578
ORD-52,2024-01-13,East,Partner,525
ORD-53,2024-01-24,East,Partner,386
ORD-54,2024-01-09,North,Web,584
ORD-55,2024-01-22,North,Web,450
ORD-56,2024-01-08,East,Partner,535
ORD-57,2024-01-16,West,Retail,365
ORD-58,2024-01-25,North,Partner,557
ORD-59,2024-01-12,North,Web,520
ORD-60,2024-01-06,South,Retail,412
ORD-61,2024-01-23,South,Web,634
ORD-62,2024-01-06,South,Web,535
ORD-63,2024-01-01,North,Partner,644
ORD-64,2024-01-26,West,Web,552
ORD-65,2024-01-04,North,Partner,439
ORD-66,2024-01-02,South,Partner,594
ORD-67,2024-01-01,North,Retail,472
ORD-68,2024-01-06,North,Partner,553
ORD-69,2024-01-04,East,Retail,421
ORD-70,2024-01-19,South,Web,480
ORD-71,2024-01-02,South,Retail,493
ORD-72,2024-01-16,South,Retail,578
ORD-73,2024-01-16,South,Web,536
ORD-74,2024-01-03,West,Retail,411
ORD-75,2024-01-28,South,Web,501
ORD-76,2024-01-09,West,Web,675
ORD-77,2024-01-11,South,Web,632
ORD-78,2024-01-12,West,Partner,732
ORD-79,2024-01-01,West,Web,520
ORD-80,2024-01-06,South,Partner,507
ORD-81,2024-01-10,South,Retail,447
ORD-82,2024-01-21,West,Partner,390
ORD-83,2024-01-25,North,Partner,417
ORD-84,2024-01-21,South,Retail,463
ORD-85,2024-01-23,South,Web,580
ORD-86,2024-01-09,East,Web,487
ORD-87,2024-01-17,South,Partner,405
ORD-88,2024-01-10,East,Retail,362
ORD-89,2024-01-26,East,Web,532
ORD-90,2024-01-04,West,Web,618
ORD-91,2024-01-09,North,Partner,460
ORD-92,2024-01-22,North,Retail,611
ORD-93,2024-01-18,South,Retail,531
ORD-94,2024-01-16,North,Web,669
ORD-95,2024-01-23,East,Retail,436
ORD-96,2024-01-17,East,Retail,523
ORD-97,2024-01-20,West,Partner,449
ORD-98,2024-01-07,South,Web,608
ORD-99,2024-01-11,North,Web,550
ORD-100,2024-01-25,East,Retail,368
ORD-101,2024-01-25,South,Web,582
ORD-102,2024-01-07,South,Web,299
ORD-103,2024-01-24,South,Partner,532
ORD-104,2024-01-23,West,Web,436
ORD-105,2024-01-09,North,Web,655
ORD-106,2024-01-12,East,Retail,488
ORD-107,2024-01-05,South,Partner,550
ORD-108,2024-01-11,South,Retail,422
ORD-109,2024-01-08,South,Web,485
ORD-110,2024-01-19,East,Web,376
ORD-111,2024-01-18,North,Retail,503
ORD-112,2024-01-01,South,Web,676
ORD-113,2024-01-21,West,Partner,508
ORD-114,2024-01-27,East,Partner,445
ORD-115,2024-01-01,West,Partner,500
ORD-116,2024-01-07,East,Retail,509
ORD-117,2024-01-25,South,Retail,416
ORD-118,2024-01-27,South,Web,424
ORD-119,2024-01-08,South,Partner,583
ORD-120,2024-01-19,West,Retail,618
ORD-121,2024-01-06,North,Web,522
ORD-122,2024-01-04,East,Web,571
ORD-123,2024-01-15,East,Retail,536
ORD-124,2024-01-17,South,Partner,541
ORD-125,2024-01-28,South,Partner,476
ORD-126,2024-01-02,South,Partner,615
ORD-127,2024-01-03,East,Partner,589
ORD-128,2024-01-19,East,Partner,361
ORD-129,2024-01-24,South,Web,499
ORD-130,2024-01-11,East,Partner,408
ORD-131,2024-01-13,North,Retail,458
ORD-132,2024-01-12,West,Retail,379
ORD-133,2024-01-18,East,Retail,500
ORD-134,2024-01-03,South,Partner,472
ORD-135,2024-01-05,East,Web,648
ORD-136,2024-01-11,East,Web,558
ORD-137,2024-01-04,North,Web,581
ORD-138,2024-01-28,South,Retail,532
ORD-139,2024-01-06,South,Partner,589
ORD-140,2024-01-24,North,Retail,597
ORD-141,2024-01-19,North,Web,579
ORD-142,2024-01-23,North,Web,558
ORD-143,2024-01-19,South,Web,564
ORD-144,2024-01-06,West,Partner,423
ORD-145,2024-01-17,North,Web,510
ORD-146,2024-01-01,East,Partner,412
ORD-147,2024-01-19,East,Retail,460
ORD-148,2024-01-16,North,Retail,603
ORD-149,2024-01-02,East,Retail,487
ORD-150,2024-01-28,South,Retail,425
ORD-151,2024-01-26,West,Web,658
ORD-152,2024-01-22,West,Retail,466
ORD-153,2024-01-23,South,Retail,500
ORD-154,2024-01-08,East,Web,500
ORD-155,2024-01-11,East,Partner,482
ORD-156,2024-01-05,North,Partner,434
ORD-157,2024-01-20,North,Web,492
ORD-158,2024-01-02,South,Partner,568
ORD-159,2024-01-01,North,Web,483
ORD-160,2024-01-19,East,Web,451
ORD-161,2024-01-07,East,Partner,416
ORD-162,2024-01-03,East,Retail,551
ORD-163,2024-01-14,East,Partner,467
ORD-164,2024-01-05,West,Web,460
ORD-165,2024-01-20,East,Web,419
ORD-166,2024-01-27,South,Web,428
ORD-167,2024-01-28,North,Retail,516
ORD-168,2024-01-03,South,Partner,543
ORD-169,2024-01-26,West,Partner,395
ORD-170,2024-01-22,South,Web,310
ORD-171,2024-01-25,East,Retail,487
ORD-172,2024-01-20,North,Retail,390
ORD-173,2024-01-03,East,Partner,527
ORD-174,2024-01-13,South,Web,396
ORD-175,2024-01-22,East,Web,682
ORD-176,2024-01-05,North,Web,473
ORD-177,2024-01-19,North,Web,514
ORD-178,2024-01-28,North,Partner,329
ORD-179,2024-01-08,North,Web,481
ORD-180,2024-01-14,North,Web,593
ORD-181,2024-01-08,North,Web,489
ORD-182,2024-01-26,West,Retail,509
ORD-183,2024-01-06,West,Web,648
ORD-184,2024-01-02,North,Retail,330
ORD-185,2024-01-06,East,Retail,531
ORD-186,2024-01-03,West,Partner,676
ORD-187,2024-01-20,South,Web,398
ORD-188,2024-01-11,South,Partner,555
ORD-189,2024-01-02,North,Partner,450
ORD-190,2024-01-17,South,Partner,510
ORD-191,2024-01-08,North,Retail,561
ORD-192,2024-01-01,West,Partner,504
ORD-193,2024-01-25,South,Retail,526
ORD-194,2024-01-06,South,Partner,630
ORD-195,2024-01-17,South,Partner,537
ORD-196,2024-01-18,East,Web,555
ORD-197,2024-01-21,North,Partner,414
ORD-198,2024-01-05,East,Retail,525
ORD-199,2024-01-09,South,Partner,495
ORD-200,2024-01-03,West,Retail,421
ORD-201,2024-01-12,South,Partner,403
ORD-202,2024-01-12,East,Web,764
ORD-203,2024-01-27,South,Web,531
ORD-204,2024-01-07,East,Web,590
ORD-205,2024-01-21,North,Web,520
ORD-206,2024-01-26,East,Partner,397
ORD-207,2024-01-28,West,Partner,561
ORD-208,2024-01-03,North,Web,627
ORD-209,2024-01-01,South,Partner,576
ORD-210,2024-01-20,South,Web,548
ORD-211,2024-01-23,North,Partner,475
ORD-212,2024-01-21,South,Retail,473
ORD-213,2024-01-17,West,Partner,561
ORD-214,2024-01-22,South,Retail,384
ORD-215,2024-01-06,North,Partner,373
ORD-216,2024-01-22,East,Partner,365
ORD-217,2024-01-14,East,Web,515
ORD-218,2024-01-22,West,Retail,567
ORD-219,2024-01-17,West,Partner,403
ORD-220,2024-01-03,North,Web,460
ORD-221,2024-01-21,North,Web,481
ORD-222,2024-01-21,East,Retail,517
ORD-223,2024-01-28,East,Retail,567
ORD-224,2024-01-17,South,Web,647
ORD-225,2024-01-27,West,Partner,565
ORD-226,2024-01-16,West,Partner,320
ORD-227,2024-01-02,West,Retail,558
ORD-228,2024-01-16,East,Partner,490
ORD-229,2024-01-05,East,Partner,447
ORD-230,2024-01-18,South,Web,474
ORD-231,2024-01-11,East,Retail,493
ORD-232,2024-01-25,North,Retail,594
ORD-233,2024-01-15,East,Web,578
ORD-234,2024-01-13,West,Retail,341
ORD-235,2024-01-28,South,Retail,465
ORD-236,2024-01-03,North,Retail,393
ORD-237,2024-01-23,West,Retail,389
ORD-238,2024-01-18,West,Web,416
ORD-239,2024-01-19,North,Partner,583
ORD-240,2024-01-17,North,Web,337
ORD-241,2024-01-25,East,Retail,489
ORD-242,2024-01-18,North,Partner,337
ORD-243,2024-01-16,North,Retail,422
ORD-244,2024-01-07,East,Partner,550
ORD-245,2024-01-28,East,Web,517
ORD-246,2024-01-24,South,Retail,461
ORD-247,2024-01-02,North,Web,514
ORD-248,2024-01-27,East,Partner,528
ORD-249,2024-01-02,South,Retail,526
ORD-250,2024-01-25,North,Web,671
ORD-251,2024-01-06,East,Web,329
ORD-252,2024-01-28,East,Retail,592
ORD-253,2024-01-26,North,Partner,485
ORD-254,2024-01-28,North,Retail,515
ORD-255,2024-01-01,East,Retail,509
ORD-256,2024-01-19,West,Partner,561
ORD-257,2024-01-25,South,Partner,592
ORD-258,2024-01-18,West,Partner,586
ORD-259,2024-01-08,North,Partner,441
ORD-260,2024-01-04,West,Partner,701
ORD-261,2024-01-24,East,Retail,606
ORD-262,2024-01-17,South,Partner,348
ORD-263,2024-01-12,North,Partner,477
ORD-264,2024-01-21,North,Partner,409
ORD-265,2024-01-19,North,Partner,447
ORD-266,2024-01-22,South,Retail,464
ORD-267,2024-01-06,South,Web,399
ORD-268,2024-01-02,South,Partner,600
ORD-269,2024-01-25,South,Partner,570
ORD-270,2024-01-22,West,Retail,450
ORD-271,2024-01-01,East,Retail,579
ORD-272,2024-01-13,South,Partner,570
ORD-273,2024-01-21,East,Retail,539
ORD-274,2024-01-11,East,Web,639
ORD-275,2024-01-28,East,Partner,798
ORD-276,2024-01-09,East,Partner,659
ORD-277,2024-01-26,North,Partner,524
ORD-278,2024-01-11,East,Web,482
ORD-279,2024-01-19,North,Web,547
ORD-280,2024-01-28,North,Partner,596
ORD-281,2024-01-23,West,Partner,412
ORD-282,2024-01-15,East,Web,460
ORD-283,2024-01-14,North,Retail,540
ORD-284,2024-01-04,North,Partner,583
ORD-285,2024-01-09,East,Web,490
ORD-286,2024-01-10,East,Retail,489
ORD-287,2024-01-16,East,Partner,324
ORD-288,2024-01-06,South,Partner,536
ORD-289,2024-01-28,East,Partner,597
ORD-290,2024-01-02,South,Partner,522
ORD-291,2024-01-14,South,Partner,696
ORD-292,2024-01-08,South,Retail,379
ORD-293,2024-01-01,East,Web,587
ORD-294,2024-01-21,West,Partner,576
ORD-295,2024-01-08,South,Retail,610
ORD-296,2024-01-23,North,Web,565
ORD-297,2024-01-25,South,Web,564
ORD-298,2024-01-07,West,Partner,390
ORD-299,2024-01-16,East,Retail,507
ORD-300,2024-01-08,South,Web,594
ORD-301,2024-01-22,West,Partner,458
ORD-302,2024-01-16,West,Retail,517
ORD-303,2024-01-23,South,Retail,484
ORD-304,2024-01-22,West,Web,453
ORD-305,2024-01-22,East,Web,554
ORD-306,2024-01-12,South,Web,397
ORD-307,2024-01-19,South,Retail,513
ORD-308,2024-01-11,North,Partner,460
ORD-309,2024-01-15,West,Partner,371
ORD-310,2024-01-20,South,Retail,538
ORD-311,2024-01-28,West,Partner,574
ORD-312,2024-01-26,South,Retail,605
ORD-313,2024-01-27,East,Partner,506
ORD-314,2024-01-04,East,Retail,360
ORD-315,2024-01-15,North,Partner,624
ORD-316,2024-01-28,East,Partner,456
ORD-317,2024-01-12,West,Retail,409
ORD-318,2024-01-24,South,Partner,746
ORD-319,2024-01-21,North,Partner,385
ORD-320,2024-01-12,South,Retail,527
ORD-321,2024-01-19,East,Web,353
ORD-322,2024-01-02,West,Web,430
ORD-323,2024-01-18,East,Retail,618
ORD-324,2024-01-19,East,Web,514
ORD-325,2024-01-04,West,Retail,588
ORD-326,2024-01-09,North,Web,425
ORD-327,2024-01-16,North,Partner,461
ORD-328,2024-01-23,East,Retail,613
ORD-329,2024-01-23,East,Partner,345
ORD-330,2024-01-16,West,Retail,509
ORD-331,2024-01-21,East,Retail,413
ORD-332,2024-01-03,West,Retail,432
ORD-333,2024-01-12,North,Partner,570
ORD-334,2024-01-02,South,Partner,479
ORD-335,2024-01-23,East,Web,585
ORD-336,2024-01-19,West,Web,469
ORD-337,2024-01-09,North,Web,455
ORD-338,2024-01-23,West,Web,613
ORD-339,2024-01-08,East,Partner,448
ORD-340,2024-01-24,West,Retail,351
ORD-341,2024-01-28,West,Partner,478
ORD-342,2024-01-02,North,Web,597
ORD-343,2024-01-15,East,Retail,706
ORD-344,2024-01-21,West,Web,508
ORD-345,2024-01-15,South,Retail,429
ORD-346,2024-01-27,South,Web,383
ORD-347,2024-01-02,North,Web,452
ORD-348,2024-01-16,East,Retail,359
ORD-349,2024-01-08,West,Retail,574
ORD-350,2024-01-08,North,Web,480
ORD-351,2024-01-08,South,Web,511
ORD-352,2024-01-20,North,Retail,512
ORD-353,2024-01-17,South,Retail,552
ORD-354,2024-01-25,West,Partner,508
ORD-355,2024-01-03,West,Web,458
ORD-356,2024-01-18,West,Retail,487
ORD-357,2024-01-14,South,Partner,612
ORD-358,2024-01-25,West,Web,275
ORD-359,2024-01-14,North,Web,281
ORD-360,2024-01-17,East,Partner,639
ORD-361,2024-01-09,North,Web,543
ORD-362,2024-01-03,North,Partner,601
ORD-363,2024-01-08,North,Retail,637
ORD-364,2024-01-12,West,Retail,491
ORD-365,2024-01-16,East,Partner,399
ORD-366,2024-01-05,West,Web,522
ORD-367,2024-01-27,North,Retail,419
ORD-368,2024-01-05,East,Web,409
ORD-369,2024-01-07,South,Web,551
ORD-370,2024-01-12,East,Retail,438
ORD-371,2024-01-27,South,Retail,440
ORD-372,2024-01-11,South,Web,564
ORD-373,2024-01-11,East,Partner,474
ORD-374,2024-01-23,South,Web,595
ORD-375,2024-01-23,West,Retail,380
ORD-376,2024-01-07,West,Partner,348
ORD-377,2024-01-01,North,Web,412
ORD-378,2024-01-11,South,Web,566
ORD-379,2024-01-21,East,Partner,485
ORD-380,2024-01-05,West,Partner,539
ORD-381,2024-01-18,North,Retail,501
ORD-382,2024-01-02,North,Web,468
ORD-383,2024-01-20,East,Web,562
ORD-384,2024-01-19,West,Retail,572
ORD-385,2024-01-24,South,Web,454
ORD-386,2024-01-04,North,Retail,533
ORD-387,2024-01-05,West,Web,473
ORD-388,2024-01-21,South,Retail,583
ORD-389,2024-01-28,North,Retail,590
ORD-390,2024-01-20,West,Retail,411
ORD-391,2024-01-19,West,Web,496
ORD-392,2024-01-16,North,Web,662
ORD-393,2024-01-10,West,Web,548
ORD-394,2024-01-19,East,Partner,292
ORD-395,2024-01-22,East,Retail,551
ORD-396,2024-01-16,South,Web,539
ORD-397,2024-01-10,South,Retail,225
ORD-398,2024-01-22,South,Web,388
ORD-399,2024-01-03,West,Web,333
ORD-400,2024-01-27,East,Web,429
ORD-401,2024-01-18,East,Web,676
ORD-402,2024-01-13,South,Retail,469
ORD-403,2024-01-23,West,Retail,543
ORD-404,2024-01-27,West,Retail,532
ORD-405,2024-01-26,East,Partner,562
ORD-406,2024-01-10,West,Retail,626
ORD-407,2024-01-04,South,Partner,482
ORD-408,2024-01-20,West,Retail,544
ORD-409,2024-01-15,North,Partner,519
ORD-410,2024-01-16,South,Partner,565
ORD-411,2024-01-13,South,Web,464
ORD-412,2024-01-28,North,Partner,329
ORD-413,2024-01-16,East,Partner,450
ORD-414,2024-01-17,North,Partner,636
ORD-415,2024-01-25,East,Retail,539
ORD-416,2024-01-04,South,Partner,506
ORD-417,2024-01-07,South,Web,492
ORD-418,2024-01-14,South,Retail,443
ORD-419,2024-01-10,West,Web,536
ORD-420,2024-01-10,West,Partner,498
ORD-421,2024-01-05,North,Web,355
ORD-422,2024-01-19,South,Retail,504
ORD-423,2024-01-19,South,Retail,509
ORD-424,2024-01-12,South,Web,323
ORD-425,2024-01-15,South,Partner,438
ORD-426,2024-01-11,West,Web,491
ORD-427,2024-01-08,East,Partner,498
ORD-428,2024-01-21,North,Retail,363
ORD-429,2024-01-02,North,Retail,581
ORD-430,2024-01-09,West,Retail,556
ORD-431,2024-01-04,North,Web,649
ORD-432,2024-01-10,East,Partner,640
ORD-433,2024-01-04,West,Partner,585
ORD-434,2024-01-15,East,Partner,502
ORD-435,2024-01-11,East,Web,529
ORD-436,2024-01-16,West,Partner,621
ORD-437,2024-01-18,East,Retail,596
ORD-438,2024-01-08,North,Retail,404
ORD-439,2024-01-16,South,Partner,515
ORD-440,2024-01-05,South,Web,618
ORD-441,2024-01-25,South,Retail,496
ORD-442,2024-01-13,West,Retail,499
ORD-443,2024-01-20,East,Retail,483
ORD-444,2024-01-28,West,Web,378
ORD-445,2024-01-01,West,Retail,259
ORD-446,2024-01-04,North,Retail,342
ORD-447,2024-01-12,South,Web,489
ORD-448,2024-01-16,South,Retail,505
ORD-449,2024-01-24,South,Retail,354
ORD-450,2024-01-12,East,Partner,526
ORD-451,2024-01-01,West,Partner,507
ORD-452,2024-01-05,South,Partner,544
ORD-453,2024-01-23,East,Retail,507
ORD-454,2024-01-08,West,Partner,449
ORD-455,2024-01-21,West,Partner,549
ORD-456,2024-01-02,South,Retail,604
ORD-457,2024-01-21,East,Web,384
ORD-458,2024-01-22,West,Web,395
ORD-459,2024-01-26,West,Retail,493
ORD-460,2024-01-17,West,Web,327
ORD-461,2024-01-27,West,Web,480
ORD-462,2024-01-24,North,Partner,579
ORD-463,2024-01-16,West,Retail,399
ORD-464,2024-01-04,West,Web,435
ORD-465,2024-01-01,West,Retail,407
ORD-466,2024-01-23,East,Partner,505
ORD-467,2024-01-06,East,Retail,664
ORD-468,2024-01-23,West,Partner,616
ORD-469,2024-01-19,East,Retail,580
ORD-470,2024-01-08,North,Retail,496
ORD-471,2024-01-20,West,Partner,447
ORD-472,2024-01-17,East,Web,474
ORD-473,2024-01-06,East,Retail,607
ORD-474,2024-01-16,West,Partner,417
ORD-475,2024-01-12,West,Partner,549
ORD-476,2024-01-18,South,Retail,318
ORD-477,2024-01-22,North,Retail,371
ORD-478,2024-01-17,South,Partner,290
ORD-479,2024-01-07,East,Web,508
ORD-480,2024-01-25,South,Partner,491
ORD-481,2024-01-02,West,Partner,475
ORD-482,2024-01-08,East,Web,490
ORD-483,2024-01-06,North,Retail,318
ORD-484,2024-01-20,West,Partner,479
ORD-485,2024-01-01,East,Partner,419
ORD-486,2024-01-28,South,Partner,505
ORD-487,2024-01-19,East,Retail,509
ORD-488,2024-01-06,East,Retail,483
ORD-489,2024-01-11,West,Retail,430
ORD-490,2024-01-26,East,Partner,561
ORD-491,2024-01-10,South,Partner,470
ORD-492,2024-01-19,North,Retail,664
ORD-493,2024-01-27,South,Retail,529
ORD-494,2024-01-12,West,Partner,498
ORD-495,2024-01-02,South,Partner,622
ORD-496,2024-01-24,South,Partner,401
ORD-497,2024-01-28,West,Partner,498
ORD-498,2024-01-16,North,Web,558
ORD-499,2024-01-05,South,Web,521
ORD-500,2024-01-18,North,Retail,476
ORD-501,2024-01-06,West,Retail,523
ORD-502,2024-01-24,North,Web,641
ORD-503,2024-01-20,South,Web,406
ORD-504,2024-01-15,North,Retail,473
ORD-505,2024-01-03,East,Retail,546
ORD-506,2024-01-09,East,Partner,439
ORD-507,2024-01-01,East,Partner,541
ORD-508,2024-01-28,East,Retail,549
ORD-509,2024-01-28,West,Web,382
ORD-510,2024-01-11,South,Web,588
ORD-511,2024-01-22,North,Retail,313
