order_id,order_date,region,channel,segment,revenue,units
ORD-0-0,2023-01-01,North,Partner,Enterprise,386,8
ORD-0-1,2023-01-16,West,Web,SMB,413,4
ORD-0-2,2023-01-09,East,Web,Enterprise,644,11
ORD-0-3,2023-01-05,South,Retail,Enterprise,734,6
ORD-0-4,2023-01-20,Central,Retail,Enterprise,571,5
ORD-0-5,2023-01-12,North,Web,Enterprise,348,11
ORD-0-6,2023-01-20,West,Web,Mid,660,7
ORD-0-7,2023-01-06,West,Retail,SMB,592,10
ORD-0-8,2023-01-19,Central,Web,Mid,586,8
ORD-0-9,2023-01-17,Central,Partner,Mid,576,6
ORD-0-10,2023-01-21,East,Partner,Enterprise,558,6
ORD-0-11,2023-01-21,East,Web,SMB,863,9
ORD-0-12,2023-01-18,North,Retail,Mid,598,13
ORD-0-13,2023-01-19,Central,Retail,Enterprise,738,5
ORD-0-14,2023-01-05,South,Web,Enterprise,494,11
ORD-0-15,2023-01-18,West,Partner,Mid,322,9
ORD-0-16,2023-01-06,East,Retail,Mid,499,4
ORD-0-17,2023-01-05,North,Web,SMB,681,9
ORD-0-18,2023-01-05,East,Retail,Enterprise,392,7
ORD-0-19,2023-01-23,East,Partner,Mid,466,9
ORD-0-20,2023-01-03,South,Partner,Enterprise,422,12
ORD-0-21,2023-01-08,South,Retail,Enterprise,659,5
ORD-0-22,2023-01-10,East,Web,Enterprise,626,6
ORD-0-23,2023-01-13,West,Partner,Mid,557,6
ORD-0-24,2023-01-18,Central,Retail,SMB,393,10
ORD-0-25,2023-01-09,South,Web,Enterprise,510,10
ORD-0-26,2023-01-07,Central,Web,Mid,463,6
ORD-0-27,2023-01-21,West,Retail,SMB,428,7
ORD-0-28,2023-01-13,East,Retail,Enterprise,521,7
ORD-0-29,2023-01-15,South,Partner,Enterprise,613,3
ORD-0-30,2023-01-26,West,Partner,Mid,551,10
ORD-0-31,2023-01-05,West,Web,SMB,493,8
ORD-0-32,2023-01-23,West,Web,Mid,521,3
ORD-0-33,2023-01-23,West,Web,Mid,247,4
ORD-0-34,2023-01-05,West,Web,Enterprise,571,7
ORD-0-35,2023-01-26,South,Partner,Mid,649,14
ORD-0-36,2023-01-20,South,Retail,SMB,376,9
ORD-0-37,2023-01-21,North,Web,SMB,559,15
ORD-0-38,2023-01-26,East,Retail,Enterprise,276,2
ORD-0-39,2023-01-21,Central,Web,Mid,659,8
ORD-0-40,2023-01-05,South,Retail,Enterprise,550,7
ORD-0-41,2023-01-25,West,Partner,Enterprise,349,7
ORD-0-42,2023-01-07,East,Retail,Enterprise,462,8
ORD-0-43,2023-01-15,East,Retail,Enterprise,269,6
ORD-0-44,2023-01-18,North,Retail,Enterprise,401,7
ORD-0-45,2023-01-28,North,Partner,Mid,293,11
ORD-0-46,2023-01-28,East,Partner,SMB,567,6
ORD-0-47,2023-01-22,South,Web,Mid,459,11
