order_id,order_date,city,dark_store,category,time_slot,order_type,items,rating,tip,order_value,delivery_min,courier_id
ORD-0,2024-11-28,Bengaluru,DS-08,Snacks,Night,Standard,4,3,10,229,29,CR-22
ORD-1,2024-03-15,Bengaluru,DS-02,Household,Morning,Express,4,5,10,618,11,CR-186
ORD-2,2024-11-27,Chennai,DS-03,Personal Care,Morning,Standard,6,4,30,364,20,CR-210
ORD-3,2024-11-11,Delhi,DS-06,Beverages,Morning,Express,5,4,20,234,12,CR-5
ORD-4,2024-07-24,Hyderabad,DS-04,Frozen,Morning,Standard,4,3,0,464,23,CR-69
ORD-5,2024-02-02,Bengaluru,DS-08,Dairy,Night,Standard,2,5,30,257,32,CR-12
ORD-6,2024-12-20,Pune,DS-05,Beverages,Evening,Standard,6,5,30,536,14,CR-194
ORD-7,2024-11-26,Mumbai,DS-03,Snacks,Evening,Standard,1,5,20,462,20,CR-141
ORD-8,2024-05-12,Delhi,DS-03,Personal Care,Morning,Standard,6,5,0,198,10,CR-58
ORD-9,2024-05-07,Bengaluru,DS-04,Personal Care,Afternoon,Express,5,3,10,408,15,CR-205
ORD-10,2024-11-08,Hyderabad,DS-06,Household,Morning,Standard,1,3,10,323,24,CR-73
ORD-11,2024-04-15,Bengaluru,DS-02,Grocery,Evening,Express,5,3,10,583,14,CR-53
ORD-12,2024-08-15,Delhi,DS-05,Dairy,Evening,Express,5,3,30,385,13,CR-191
ORD-13,2024-02-19,Chennai,DS-07,Frozen,Morning,Standard,4,3,10,431,31,CR-116
ORD-14,2024-07-10,Hyderabad,DS-07,Beverages,Evening,Standard,6,3,20,506,27,CR-102
ORD-15,2024-08-09,Mumbai,DS-06,Grocery,Afternoon,Standard,2,3,0,311,24,CR-78
ORD-16,2024-08-14,Mumbai,DS-06,Personal Care,Afternoon,Standard,5,5,30,194,20,CR-139
ORD-17,2024-10-17,Pune,DS-04,Frozen,Night,Standard,2,3,30,435,29,CR-170
ORD-18,2024-02-07,Delhi,DS-06,Household,Night,Express,1,3,10,458,15,CR-163
ORD-19,2024-03-03,Hyderabad,DS-02,Snacks,Morning,Standard,4,4,30,402,15,CR-140
ORD-20,2024-07-22,Delhi,DS-01,Frozen,Evening,Express,3,4,30,526,14,CR-64
ORD-21,2024-06-24,Hyderabad,DS-04,Frozen,Morning,Standard,4,4,0,470,18,CR-32
ORD-22,2024-09-07,Mumbai,DS-04,Snacks,Morning,Express,1,5,0,409,11,CR-181
ORD-23,2024-10-06,Pune,DS-04,Dairy,Morning,Express,5,4,0,646,18,CR-162
ORD-24,2024-08-14,Delhi,DS-08,Personal Care,Evening,Standard,3,5,10,436,28,CR-63
ORD-25,2024-05-12,Chennai,DS-04,Dairy,Afternoon,Standard,3,3,10,666,18,CR-97
ORD-26,2024-09-03,Hyderabad,DS-07,Frozen,Afternoon,Express,5,4,10,607,27,CR-199
