order_id,order_date,segment,revenue,margin_rate
ORD-0,2025-01-03,Enterprise,375,0.3862
ORD-1,2025-01-06,Enterprise,589,0.4123
ORD-2,2025-01-20,Enterprise,621,0.4018
ORD-3,2025-01-14,Enterprise,558,0.3859
ORD-4,2025-01-28,Enterprise,580,0.4125
ORD-5,2025-01-22,Enterprise,467,0.3719
ORD-6,2025-01-27,Enterprise,546,0.3948
ORD-7,2025-01-23,Enterprise,514,0.3696
ORD-8,2025-01-26,Enterprise,509,0.3922
ORD-9,2025-01-26,Enterprise,388,0.407
ORD-10,2025-01-20,Enterprise,506,0.3434
ORD-11,2025-01-15,Enterprise,461,0.4297
ORD-12,2025-01-01,Enterprise,414,0.3605
ORD-13,2025-01-27,Enterprise,528,0.3957
ORD-14,2025-01-16,Enterprise,611,0.3986
ORD-15,2025-01-24,Enterprise,566,0.3802
ORD-16,2025-01-18,Enterprise,380,0.4029
ORD-17,2025-01-16,Enterprise,508,0.3833
ORD-18,2025-01-04,Enterprise,481,0.4174
ORD-19,2025-01-23,Enterprise,518,0.41
ORD-20,2025-01-18,Enterprise,476,0.3864
ORD-21,2025-01-17,Enterprise,492,0.435
ORD-22,2025-01-21,Enterprise,608,0.4044
ORD-23,2025-01-13,Enterprise,478,0.4292
ORD-24,2025-01-16,Enterprise,386,0.4052
ORD-25,2025-01-07,Enterprise,578,0.3762
ORD-26,2025-01-17,Enterprise,600,0.3712
ORD-27,2025-01-12,Enterprise,406,0.4174
ORD-28,2025-01-26,Enterprise,532,0.3856
ORD-29,2025-01-08,Enterprise,403,0.4088
ORD-30,2025-01-04,Enterprise,571,0.3947
ORD-31,2025-01-22,Enterprise,541,0.4101
ORD-32,2025-01-19,Enterprise,509,0.4081
ORD-33,2025-01-23,Enterprise,481,0.3831
ORD-34,2025-01-19,Enterprise,491,0.4485
ORD-35,2025-01-24,Enterprise,566,0.4187
ORD-36,2025-01-25,Enterprise,590,0.37
ORD-37,2025-01-01,Enterprise,493,0.3944
ORD-38,2025-01-02,Enterprise,595,0.4121
ORD-39,2025-01-13,Enterprise,453,0.4105
ORD-40,2025-01-10,Enterprise,427,0.388
ORD-41,2025-01-10,Enterprise,505,0.4146
ORD-42,2025-01-24,Enterprise,619,0.3751
ORD-43,2025-01-01,Enterprise,483,0.3865
ORD-44,2025-01-27,Enterprise,607,0.4251
ORD-45,2025-01-11,Enterprise,616,0.4217
ORD-46,2025-01-15,Enterprise,553,0.4115
ORD-47,2025-01-27,Enterprise,395,0.4023
ORD-48,2025-01-21,Enterprise,560,0.3891
ORD-49,2025-01-16,Enterprise,328,0.3771
